doi	state	client_id	updated	source_month
10.13128/acta_herpetol-14979	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-14988	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-15002	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-15003	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-15109	findable	crui.unifi	2020-06-29T14:32:41Z	2020-06
10.13128/acta_herpetol-15142	findable	crui.unifi	2020-06-29T12:16:06Z	2020-06
10.13128/acta_herpetol-15149	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-15155	findable	crui.unifi	2020-06-29T12:16:06Z	2020-06
10.13128/acta_herpetol-15172	findable	crui.unifi	2020-06-29T15:23:02Z	2020-06
10.13128/acta_herpetol-15304	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-15321	findable	crui.unifi	2020-06-29T12:16:06Z	2020-06
10.13128/acta_herpetol-15394	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-15421	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-15529	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-15547	findable	crui.unifi	2020-06-29T12:16:07Z	2020-06
10.13128/acta_herpetol-16038	findable	crui.unifi	2020-06-29T14:32:40Z	2020-06
10.13128/acta_herpetol-16084	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-16150	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16160	findable	crui.unifi	2020-06-29T12:16:06Z	2020-06
10.13128/acta_herpetol-16194	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16297	findable	crui.unifi	2020-06-29T12:38:02Z	2020-06
10.13128/acta_herpetol-16427	findable	crui.unifi	2020-06-29T12:38:03Z	2020-06
